date,category,amount,description
2024-01-01,Food,-25.50,Lunch at restaurant
2024-01-02,Income,2500.00,Salary
2024-01-03,Transport,-12.30,Bus ticket
2024-01-04,Food,-8.75,Coffee
2024-01-05,Shopping,-45.20,Groceries
2024-01-06,Entertainment,-15.00,Movie ticket
2024-01-07,Food,-22.40,Dinner
2024-01-08,Utilities,-85.60,Electricity bill
2024-01-09,Income,500.00,Freelance work
2024-01-10,Transport,-18.50,Taxi
2024-01-11,Food,-12.30,Breakfast
2024-01-12,Shopping,-67.80,Clothing
2024-01-13,Healthcare,-120.00,Doctor visit
2024-01-14,Food,-19.90,Lunch
2024-01-15,Income,2500.00,Salary
